Index,X,Y,Z,NormalX,NormalY,NormalZ,GroupID
     353 ,-7.882,-52.884,86.522,0.72589,-0.34136,-0.59712,0
     354 ,65.214,-20.092,110.228,0.01696,-0.01321,0.99977,0
     355 ,32.166,-79.930,127.523,0.49280,-0.71607,0.49437,0
     356 ,33.971,-48.527,138.484,0.00447,0.18674,0.98240,0
     357 ,-23.314,-19.722,121.206,-0.67233,0.28791,0.68197,0
     358 ,-18.454,-20.950,120.776,0.51441,0.60469,0.60806,0
     359 ,14.706,-36.006,94.530,-0.08131,0.42969,-0.89931,0
     360 ,28.410,-61.575,139.562,-0.16202,0.32538,0.93160,0
     361 ,-2.116,-41.352,127.708,-0.43279,0.44453,0.78428,0
     362 ,11.122,-72.181,98.345,-0.04722,-0.40912,-0.91126,0
     363 ,-9.380,-42.162,89.392,0.45667,0.71698,-0.52669,0
     364 ,-7.207,-60.919,96.774,-0.31108,-0.77877,-0.54474,0
     365 ,61.663,-18.792,109.553,-0.16919,0.32054,0.93200,0
     366 ,-12.574,-45.606,82.460,0.65533,0.37630,-0.65494,0
     367 ,51.708,-41.559,80.820,0.73949,0.64448,-0.19444,0
     368 ,12.801,-28.274,100.994,-0.16810,0.79832,-0.57830,0
     369 ,40.909,-30.168,93.986,0.00861,0.82299,-0.56799,0
     370 ,17.652,-28.957,127.359,-0.18870,0.96350,0.18990,0
     371 ,63.324,-17.762,109.574,-0.22611,0.31905,0.92037,0
     372 ,-1.179,-43.506,93.708,0.12306,0.27267,-0.95421,0
